Country Code,State Code,Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
AL,*,*,*,20.0000,VAT,1,0,1,
AD,*,*,*,20.0000,VAT,1,0,1,
AM,*,*,*,20.0000,VAT,1,0,1,
AT,*,*,*,20.0000,VAT,1,0,1,
BY,*,*,*,20.0000,VAT,1,0,1,
BE,*,*,*,20.0000,VAT,1,0,1,
BA,*,*,*,20.0000,VAT,1,0,1,
BG,*,*,*,20.0000,VAT,1,0,1,
CH,*,*,*,20.0000,VAT,1,0,1,
CY,*,*,*,20.0000,VAT,1,0,1,
CZ,*,*,*,20.0000,VAT,1,0,1,
DE,*,*,*,20.0000,VAT,1,0,1,
DK,*,*,*,20.0000,VAT,1,0,1,
EE,*,*,*,20.0000,VAT,1,0,1,
ES,*,*,*,20.0000,VAT,1,0,1,
FO,*,*,*,20.0000,VAT,1,0,1,
FI,*,*,*,20.0000,VAT,1,0,1,
FR,*,*,*,20.0000,VAT,1,0,1,
GE,*,*,*,20.0000,VAT,1,0,1,
GI,*,*,*,20.0000,VAT,1,0,1,
GR,*,*,*,20.0000,VAT,1,0,1,
HU,*,*,*,20.0000,VAT,1,0,1,
HR,*,*,*,20.0000,VAT,1,0,1,
IE,*,*,*,20.0000,VAT,1,0,1,
IS,*,*,*,20.0000,VAT,1,0,1,
IT,*,*,*,20.0000,VAT,1,0,1,
LT,*,*,*,20.0000,VAT,1,0,1,
LU,*,*,*,20.0000,VAT,1,0,1,
LV,*,*,*,20.0000,VAT,1,0,1,
MC,*,*,*,20.0000,VAT,1,0,1,
MK,*,*,*,20.0000,VAT,1,0,1,
MT,*,*,*,20.0000,VAT,1,0,1,
NO,*,*,*,20.0000,VAT,1,0,1,
NL,*,*,*,20.0000,VAT,1,0,1,
PL,*,*,*,20.0000,VAT,1,0,1,
PT,*,*,*,20.0000,VAT,1,0,1,
RO,*,*,*,20.0000,VAT,1,0,1,
RU,*,*,*,20.0000,VAT,1,0,1,
SE,*,*,*,20.0000,VAT,1,0,1,
SI,*,*,*,20.0000,VAT,1,0,1,
SK,*,*,*,20.0000,VAT,1,0,1,
SM,*,*,*,20.0000,VAT,1,0,1,
TR,*,*,*,20.0000,VAT,1,0,1,
UA,*,*,*,20.0000,VAT,1,0,1,
VA,*,*,*,20.0000,VAT,1,0,1,
*,*,*,*,0.0000,No Tax,1,0,1,
